tmdb_id,imdb_id,title,original_language,release_year,overview,genres,vote_average,vote_count,poster_url
28004,tt0359639,Tyler Perry's Madea's Family Reunion - The Play,en,2002.0,"The fireworks begin when Madea’s family gathers for her granddaughter’s wedding. As usual, Madea rules the roost, as she and her neighbor, the wacky Mr. Brown, deliver nonstop laughs. Live, love, rejoice...it’s Madea’s Family Reunion!","Comedy, Drama",6.5,86,https://image.tmdb.org/t/p/w500/5QFNhH4jv5V2H3tv5nL7pbeZpg5.jpg
28007,tt0041786,The Reckless Moment,en,1949.0,"After discovering the dead body of her teenage daughter's lover, a housewife takes desperate measures to protect her family from scandal.","Drama, Thriller, Crime",6.8,137,https://image.tmdb.org/t/p/w500/qvGt1gbQt7g5vUzJrZU2qWQNEqR.jpg
60792,tt0056671,Walk on the Wild Side,en,1962.0,"At a 1930s New Orleans bordello, Hallie is the main attraction for both clients and the shrewd madam. The arrival of Dove Linkhorn, her lovesick sweetheart from three years ago, disrupts the normal and triggers a chain of events involving a number of people, including the young woman he travelled with, who is now the Doll House's newest employee.",Drama,6.5,67,https://image.tmdb.org/t/p/w500/t1fPzQlKpk06an9Akme1LJX2MjU.jpg
28029,tt0120613,A Walk on the Moon,en,1999.0,The world of a young housewife is turned upside down when she has an affair with a free-spirited blouse salesman.,"Drama, Romance",6.023,109,https://image.tmdb.org/t/p/w500/6aNMyAP82sDoVFmopFzGDWeVVne.jpg
60794,tt0082210,El crack,es,1981.0,"Private detective Germán Areta el Piojo gets a terminally ill client who wishes to see his long lost, runaway daughter before he dies.","Drama, Thriller",7.1,45,https://image.tmdb.org/t/p/w500/thPZa2lHHV8wJu71kOHTR90OQ3p.jpg
28050,tt0064904,Hatchet for the Honeymoon,it,1970.0,A madman haunted by the ghost of his ex-wife carves a corpse-laden trail.,"Horror, Thriller",6.391,115,https://image.tmdb.org/t/p/w500/6uzxm3EjilcpjVSVKb1DFdmSWjR.jpg
126331,tt2399533,Les Invisibles,fr,2012.0,"Several elderly homosexual men and women speak frankly about their pioneering lives, their fearless decision to live openly in France at a time when society rejected them.","Romance, Documentary",6.8,43,https://image.tmdb.org/t/p/w500/8xzojCU2WdrckkrCVjS6fo4KIFy.jpg
28039,tt0069518,The New One-Armed Swordsman,zh,1971.0,"Lei Li lost his right-arm in a sword duel with the master of a martial arts school, long ago. Now, he is able to defend himself well with just his left arm, and kung fu techniques. That he proves with just the help of his friend Chung-Chieng, when he crosses his path with a beautiful girl in need, Pao Chiao. Even against impossible odds, he will prove a great warrior.","Action, Drama, History, War",6.9,81,https://image.tmdb.org/t/p/w500/80wyNgKIPJCMTb8lzaG9rbezV10.jpg
60821,tt1312251,The Good Witch's Garden,en,2009.0,"Middleton prepares for its bicentennial, and Grey House is to be the party venue. Good witch Cassie is remodeling it as B&amp;B. her first and only guest, Nick Chasen, claims to be a distant relative. He produces papers to prove he's the heir of the builder, colonial era captain Hamblin, while the Grey lady was his mistress and stole it. Police chief and lover Jake Russell goes all the way to motivate her to fight and disprove the claim before she's effectively disowned. Brandon is dared to pass a rascals-initiation by local brat Steve and Duke. George's gardening skills lead to romance.","TV Movie, Comedy, Family, Fantasy, Romance",7.4,98,https://image.tmdb.org/t/p/w500/XMRMsKAKvA5reGZIL4m3YqQwQv.jpg
617882,tt13086130,Soulmate,ko,2023.0,"When Mi-so and Ha-eun first meet in childhood, their lives become instantly intertwined, forming a bond surrounded by happiness and naivety. But as adulthood arrives, alone and together, they are forced to deal with sadness, anger, grief, growth, and most of all, love.","Drama, Romance",7.891,92,https://image.tmdb.org/t/p/w500/iL0jvWpSVW1uFn9aAoUh3UwzdYA.jpg
